Prompt_ID,Main_Category,Linguistic_Phenomenon,Concept,Prompt,Expected_Strong_Answer,Success_Criterion
P01,Semantic ambiguity,Lexical ambiguity,The word has more than one meaning,Explain the ambiguity in this sentence: 'The bank was crowded after lunch.',A strong answer identifies at least two meanings of bank: financial institution and river edge; it should explain that context is missing.,Both meanings identified
P02,Semantic ambiguity,Syntactic ambiguity,The sentence structure allows more than one interpretation,Explain the possible meanings of: 'I saw the man with the telescope.',"A strong answer explains that either the speaker used the telescope to see the man, or the man had the telescope.",Both readings identified
P03,Semantic ambiguity,Scope ambiguity,A quantifier or negation has different possible scopes,Explain the ambiguity in: 'Everyone did not pass the exam.',A strong answer distinguishes between nobody passed and not everyone passed.,Scope contrast identified
P04,Semantic ambiguity,Referential ambiguity,A pronoun or expression has unclear reference,"In the sentence 'Anna told Maria that she had won the prize,' who may 'she' refer to?",A strong answer says 'she' could refer to Anna or Maria unless context clarifies it.,Possible referents identified
P05,Semantic ambiguity,Polysemy,A single word has related meanings,Explain the different meanings of 'paper' in: 'She submitted a paper about paper recycling.',A strong answer distinguishes academic essay/article and physical material.,Related meanings identified
P06,Semantic ambiguity,Attachment ambiguity,A phrase may attach to different parts of a sentence,Explain the ambiguity: 'She photographed the dog in the park.',A strong answer explains either she was in the park while photographing the dog or the dog was in the park.,Both attachments identified
P07,Semantic ambiguity,Metonymic ambiguity,A term may refer to an institution/person/place,Explain possible meanings of: 'The White House issued a statement.',"A strong answer explains it likely means the U.S. administration or officials, not the physical building.",Institutional meaning recognized
P08,Semantic ambiguity,Compositionality limitation,Literal combination does not fully determine meaning,Explain why 'kick the bucket' is not understood compositionally.,A strong answer says the idiom means to die and cannot be understood by adding the literal meanings of kick + bucket.,Idiom recognized
P09,Semantic ambiguity,Gradable adjective ambiguity,Meaning depends on comparison class,Explain why 'small elephant' and 'small mouse' do not mean the same size.,A strong answer explains that small is interpreted relative to the noun/category.,Comparison class explained
P10,Semantic ambiguity,Deixis,Meaning depends on speaker/context,Explain what information is missing in: 'I will meet you here tomorrow.',"A strong answer says we need to know speaker, addressee, place, and date of utterance.",Context dependency identified
P11,Pragmatics,Conversational implicature,The speaker implies more than they literally say,A: 'Are you coming to the meeting?' B: 'I have a dentist appointment.' What is implied?,A strong answer infers that B probably cannot attend or is indirectly declining.,Indirect refusal inferred
P12,Pragmatics,Scalar implicature,A weaker term implies the stronger term may not hold,A teacher says: 'Some students passed the exam.' What might this imply?,"A strong answer says it may imply not all students passed, although literally 'some' can be compatible with all.",Some-not-all inference
P13,Pragmatics,Presupposition,A sentence assumes background information,What does 'Maria stopped smoking' presuppose?,A strong answer says Maria used to smoke before.,Presupposition identified
P14,Pragmatics,Politeness strategy,Indirectness reduces face-threat,Why might someone say 'Could you possibly close the window?' instead of 'Close the window'?,"A strong answer explains politeness, mitigation, and indirect request strategy.",Politeness explained
P15,Pragmatics,Speech act,The intended act differs from literal sentence type,"In context, what speech act is performed by: 'Can you pass the salt?'","A strong answer says it is a request, not a real question about ability.",Request identified
P16,Pragmatics,Irony,Intended meaning contrasts with literal words,"After a terrible performance, someone says: 'Well, that was brilliant.' What is meant?",A strong answer identifies irony/sarcasm and says the speaker likely means the opposite.,Irony recognized
P17,Pragmatics,Contextual inference,Meaning depends on situation,A: 'Do you like the soup?' B: 'It is very salty.' What is B implying?,A strong answer infers that B probably does not fully like the soup or is criticizing it indirectly.,Negative evaluation inferred
P18,Pragmatics,Maxim of relevance,An apparently unrelated answer can be meaningful,A: 'Where is John?' B: 'There is a red car outside Mary's house.' Explain the possible implication.,"A strong answer explains B may imply John is at Mary's house if John's car is red, relying on contextual relevance.",Relevance inference explained
P19,Pragmatics,Cultural presupposition,Meaning assumes cultural knowledge,Explain why 'He met his Waterloo' may be difficult for a machine translation system.,A strong answer explains the allusion to Napoleon's defeat and the idiomatic meaning of final failure.,Cultural allusion explained
P20,Pragmatics,Implicature cancellation,An implication can be explicitly cancelled,"Explain the difference: 'Some students passed' vs. 'Some students passed—in fact, all did.'",A strong answer says the usual some-not-all implicature is cancelled by the second clause.,Cancellation explained
P21,Metaphor/Figurative meaning,Conceptual metaphor,One domain is understood through another,Explain the metaphor: 'Time is a thief.',"A strong answer says time is portrayed as taking away youth, opportunities, or moments; not literally stealing.",Source-target mapping explained
P22,Metaphor/Figurative meaning,Metaphorical mapping,Abstract experience is mapped onto concrete image,Explain: 'Her argument collapsed.',A strong answer explains an argument is conceptualized as a physical structure that can fail.,Argument-as-building mapping
P23,Metaphor/Figurative meaning,Personification,A non-human entity is given human qualities,Explain the meaning of: 'The city never sleeps.',A strong answer says the city is active all night; it is personified as if it could sleep.,Personification recognized
P24,Metaphor/Figurative meaning,Dead metaphor,A metaphorical expression has become conventional,Explain why 'grasp an idea' is metaphorical.,A strong answer says understanding is conceptualized as physically holding/grasping something.,Understanding-as-grasping
P25,Metaphor/Figurative meaning,Idiom,Meaning is conventional and non-literal,"What does 'spill the beans' mean, and why might literal translation fail?",A strong answer says it means reveal a secret and literal translation may miss the idiomatic meaning.,Idiom explained
P26,Metaphor/Figurative meaning,Hyperbole,Intentional exaggeration,Explain the non-literal meaning of: 'I have told you a million times.',A strong answer says it exaggerates frequency to express frustration; not literally one million.,Exaggeration identified
P27,Metaphor/Figurative meaning,Metaphor vs literal meaning,Context selects interpretation,Explain both literal and metaphorical meanings of: 'The room exploded.',A strong answer distinguishes actual explosion from sudden loud excitement/noise/reaction.,Literal/metaphoric contrast
P28,Metaphor/Figurative meaning,Symbolic meaning,A concrete object carries abstract meaning,"In literature, what might 'a cage' symbolize besides a physical object?","A strong answer mentions confinement, lack of freedom, social restriction, or psychological imprisonment.",Symbolism explained
P29,Metaphor/Figurative meaning,Metonymy,Association-based meaning,Explain: 'Hollywood loves sequels.',"A strong answer says Hollywood refers to the film industry, not just the geographic place.",Industry metonymy recognized
P30,Metaphor/Figurative meaning,Conceptual metaphor,Emotion represented spatially/physically,Explain the metaphor in: 'She fell into depression.',A strong answer explains depression is conceptualized as a container or downward movement/state.,Emotion metaphor explained
P31,Register/Style,Register adaptation,Language must fit audience and situation,Rewrite this sentence for a 10-year-old: 'The patient exhibited symptoms of acute respiratory distress.',"A strong answer uses simple wording, e.g. 'The person had serious trouble breathing.'",Audience adaptation
P32,Register/Style,Academic register,Informal language is inappropriate in academic context,Rewrite academically: 'The translation totally messes up the meaning.',"A strong answer uses formal language, e.g. 'The translation significantly distorts the intended meaning.'",Academic tone
P33,Register/Style,Legal register,Precision and formality matter,Rewrite in plain English: 'The tenant shall vacate the premises within thirty days.',A strong answer says the renter must leave the property/home within 30 days.,Plain-language conversion
P34,Register/Style,Politeness/formality,Tone changes interpersonal meaning,Make this email sentence more polite: 'Send me the file today.',A strong answer uses please/could/would and a respectful tone.,Polite request
P35,Register/Style,Stylistic preservation,Translation/evaluation must preserve tone,Explain why translating a poetic sentence too literally can be a failure.,"A strong answer says literal meaning may be preserved while rhythm, tone, imagery, or rhetorical effect is lost.",Style-vs-literal insight
P36,Register/Style,Genre awareness,Different genres have different conventions,Why would a joke translated in a legal style fail pragmatically?,"A strong answer says the genre/register mismatch destroys humor, audience expectations, and communicative effect.",Genre mismatch explained
P37,Register/Style,Formality mismatch,Inappropriate formality affects meaning,"Explain the problem if a chatbot replies 'Yo, diagnosis looks bad' in a medical setting.",A strong answer identifies inappropriate informality and lack of sensitivity/professionalism.,Formality issue
P38,Register/Style,Audience design,Speaker adapts expression to listener,Rewrite for a professor: 'Can u check my thesis real quick?',"A strong answer makes it formal and respectful, e.g. 'Would you be willing to review my thesis when convenient?'",Professor-appropriate tone
P39,Register/Style,Pragmatic appropriateness,Correct content can still be socially inappropriate,Explain why 'Your paper is bad' may be pragmatically inappropriate feedback.,"A strong answer discusses face-threat, bluntness, lack of constructive specificity, and politeness norms.",Face-threat identified
P40,Register/Style,Tone transfer,Meaning includes attitude,Explain why tone matters when evaluating LLM responses.,"A strong answer says tone affects politeness, trust, suitability, implied attitude, and communicative success.",Tone importance explained
